Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.02,0.02,0.03,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,6.22,6.68,7.99,9.88,12,14,14,15,15,16,16
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.18,0.18,0.20,0.23,0.26,0.29,0.30,0.30,0.31,0.32,0.33
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,5.83,6.27,7.53,9.35,11,13,14,14,15,15,15
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.21,0.22,0.26,0.30,0.30,0.31,0.29,0.28,0.28,0.28,0.27
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.15,0.04,0.38,0.91,0.89,0.48,0.15,0.12,0.15,0.16,0.22
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.56,0.53,0.48,0.40,0.33,0.29,0.27,0.25,0.23,0.21,0.18
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Other,Mt CH4/yr,0.07,0.08,0.10,0.14,0.14,0.08,0.07,0.08,0.08,0.08,0.06
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Waste,Mt CH4/yr,1.10,1.26,1.65,2.07,2.48,2.88,3.21,3.49,3.70,3.80,3.85
IMAGE,SSP2-Ref-SPA0-V17,INDIA,Emissions|CH4,Mt CH4/yr,27,30,34,37,41,52,59,64,66,66,68
