Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Energy Supply,Mt CH4/yr,0.32,0.31,0.17,0.09,0.08,0.08,0.08,0.10,0.09,0.08,0.06
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.37,0.35,0.21,0.12,0.11,0.10,0.10,0.11,0.10,0.09,0.07
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Land Use,Mt CH4/yr,1.35,1.34,1.25,1.06,0.79,0.55,0.50,0.45,0.40,0.39,0.30
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,1.34,1.33,1.25,1.06,0.79,0.55,0.49,0.44,0.39,0.34,0.29
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.18,0.18,0.17,0.14,0.12,0.08,0.07,0.06,0.06,0.05,0.04
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.41,0.41,0.37,0.31,0.27,0.23,0.21,0.19,0.17,0.15,0.13
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.75,0.75,0.70,0.61,0.40,0.24,0.22,0.19,0.17,0.14,0.12
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.05,0.01
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Waste,Mt CH4/yr,0.26,0.26,0.24,0.22,0.19,0.14,0.12,0.11,0.10,0.09,0.08
IMAGE,SSP2-26-SPA2-V17,KOR,Emissions|CH4,Mt CH4/yr,1.88,1.94,1.62,1.35,1.15,0.88,0.76,0.69,0.60,0.55,0.49
